GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dagger,dagger,ObjectGraph,0,15,0,0,0,4,0,3,0,3
Dagger,dagger,ObjectGraph.StandardBindings,0,55,0,2,0,13,0,4,0,3
Dagger,dagger,ObjectGraph.OverridesBindings,0,8,0,0,0,2,0,2,0,2
Dagger,dagger,ObjectGraph.DaggerObjectGraph,9,439,2,36,1,91,2,29,0,12
Dagger,dagger,Provides.Type,0,39,0,0,0,4,0,2,0,2
Dagger,dagger.internal.loaders,ReflectiveStaticInjection,19,120,1,11,3,22,1,9,0,4
Dagger,dagger.internal.loaders,ReflectiveAtInjectBinding,46,464,7,59,10,97,7,34,0,8
Dagger,dagger.internal,Loader.new Memoizer() {...},0,12,0,0,0,2,0,2,0,2
Dagger,dagger.internal,Memoizer,22,61,2,4,5,18,3,3,1,2
Dagger,dagger.internal,BuiltInBinding,7,27,0,0,2,7,2,3,2,3
Dagger,dagger.internal,ProblemDetector.ArraySet,4,19,0,0,1,5,1,3,1,3
Dagger,dagger.internal,FailoverLoader.new Memoizer() {...},14,21,1,1,1,5,1,2,0,2
Dagger,dagger.internal,Linker.ErrorHandler,5,0,0,0,1,0,1,0,1,0
Dagger,dagger.internal,StaticInjection,0,3,0,0,0,1,0,1,0,1
Dagger,dagger.internal,LazyBinding,4,34,0,0,1,8,1,4,1,4
Dagger,dagger.internal,ProblemDetector,0,194,1,17,0,42,1,13,0,5
Dagger,dagger.internal,Binding.new Binding() {...},10,7,0,0,2,1,2,1,2,1
Dagger,dagger.internal,Linker,103,442,8,52,14,110,10,36,2,14
Dagger,dagger.internal,ModuleAdapter,19,43,2,2,4,14,4,3,2,3
Dagger,dagger.internal,Modules,0,131,1,13,0,24,1,8,0,2
Dagger,dagger.internal,ThrowingErrorHandler,0,38,0,4,0,9,0,4,0,2
Dagger,dagger.internal,Keys,57,428,13,59,8,85,14,40,1,17
Dagger,dagger.internal,SetBinding,45,222,5,21,7,47,6,17,2,8
Dagger,dagger.internal,Binding.InvalidBindingException,0,7,0,0,0,3,0,1,0,1
Dagger,dagger.internal,FailoverLoader,37,41,5,3,9,9,5,3,1,3
Dagger,dagger.internal,BindingsGroup,13,56,0,2,1,10,1,6,1,5
Dagger,dagger.internal,LazyBinding.new Lazy() {...},0,33,0,4,0,8,0,4,0,2
Dagger,dagger.internal,Keys.new Memoizer() {...},0,8,0,0,0,2,0,2,0,2
Dagger,dagger.internal,ArrayQueue.QueueIterator,110,0,12,0,20,0,10,0,4,0
Dagger,dagger.internal,Loader,29,38,1,3,4,9,1,4,0,3
Dagger,dagger.internal,Linker.ErrorHandler.new Linker.ErrorHandler() {...},4,0,0,0,2,0,2,0,2,0
Dagger,dagger.internal,Linker.DeferredBinding,22,16,0,0,3,5,3,1,3,1
Dagger,dagger.internal,Loader.1.new Memoizer() {...},0,17,0,0,0,4,0,2,0,2
Dagger,dagger.internal,ArrayQueue,556,109,48,6,125,27,44,6,19,4
Dagger,dagger.internal,Linker.SingletonBinding,30,82,0,4,7,26,5,14,5,12
Dagger,dagger.internal,Binding,51,143,3,23,4,26,6,25,3,15
Dagger,dagger.internal,ProvidesBinding,0,50,0,0,0,5,0,2,0,2
