GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Moshi,com.squareup.moshi.internal,Util,0,128,2,26,0,24,2,19,0,7
Moshi,com.squareup.moshi,StandardJsonAdapters.new JsonAdapter.Factory() {...},0,125,0,40,0,24,0,22,0,2
Moshi,com.squareup.moshi,StandardJsonAdapters.new JsonAdapter() {...},2,13,0,0,1,4,1,3,1,3
Moshi,com.squareup.moshi,ClassJsonAdapter,36,118,1,9,9,32,2,8,1,4
Moshi,com.squareup.moshi,StandardJsonAdapters.new JsonAdapter() {...},2,20,0,0,1,4,1,3,1,3
Moshi,com.squareup.moshi,JsonReader.Options,6,47,0,2,2,11,0,3,0,2
Moshi,com.squareup.moshi,StandardJsonAdapters.new JsonAdapter() {...},2,51,0,2,1,8,1,4,1,3
Moshi,com.squareup.moshi,StandardJsonAdapters.ObjectJsonAdapter,23,100,2,11,4,23,3,11,1,4
Moshi,com.squareup.moshi,Moshi,12,326,1,23,1,62,1,20,0,9
Moshi,com.squareup.moshi,Types.new InvocationHandler() {...},18,33,2,3,2,7,2,4,0,2
Moshi,com.squareup.moshi,LinkedHashTreeMap,196,830,56,114,39,203,47,63,5,20
Moshi,com.squareup.moshi,JsonValueReader,26,857,14,98,3,178,14,66,0,24
Moshi,com.squareup.moshi,LinkedHashTreeMap.LinkedTreeMapIterator,12,71,3,5,3,15,3,5,0,4
Moshi,com.squareup.moshi,ClassFactory.new ClassFactory() {...},29,0,0,0,3,0,3,0,3,0
Moshi,com.squareup.moshi,LinkedHashTreeMap.new Comparator() {...},4,3,0,0,1,1,1,1,1,1
Moshi,com.squareup.moshi,LinkedHashTreeMap.AvlIterator,0,56,0,6,0,18,0,6,0,3
Moshi,com.squareup.moshi,LinkedHashTreeMap.Node,80,75,20,2,20,20,15,6,4,6
Moshi,com.squareup.moshi,ClassFactory.new ClassFactory() {...},4,25,0,0,1,2,1,2,1,2
Moshi,com.squareup.moshi,ClassFactory.new ClassFactory() {...},34,0,0,0,3,0,3,0,3,0
Moshi,com.squareup.moshi,ClassJsonAdapter.FieldBinding,0,34,0,0,0,11,0,3,0,3
Moshi,com.squareup.moshi,ClassFactory.new ClassFactory() {...},4,16,0,0,1,3,1,2,1,2
Moshi,com.squareup.moshi,Types.GenericArrayTypeImpl,11,26,0,4,1,7,1,6,1,4
