GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Adapter: RxJava,retrofit2.adapter.rxjava,RxJavaCallAdapter,0,85,0,12,0,26,0,9,0,3
Adapter: RxJava,retrofit2.adapter.rxjava,CallEnqueueOnSubscribe.new Callback() {...},0,21,0,0,0,6,0,3,0,3
Adapter: RxJava,retrofit2.adapter.rxjava,RxJavaCallAdapterFactory,0,169,0,26,0,34,0,18,0,5
Adapter: RxJava,retrofit2.adapter.rxjava,CallExecuteOnSubscribe,0,37,0,0,0,15,0,2,0,2
Adapter: RxJava,retrofit2.adapter.rxjava,BodyOnSubscribe,0,14,0,0,0,5,0,2,0,2
Adapter: RxJava,retrofit2.adapter.rxjava,CallArbiter,57,153,8,16,11,57,8,13,0,7
Adapter: RxJava,retrofit2.adapter.rxjava,BodyOnSubscribe.BodySubscriber,13,73,1,5,3,22,1,6,0,4
Adapter: RxJava,retrofit2.adapter.rxjava,HttpException,0,4,0,0,0,2,0,1,0,1
Adapter: RxJava,retrofit2.adapter.rxjava,ResultOnSubscribe.ResultSubscriber,6,55,0,0,2,19,0,4,0,4
Adapter: RxJava,retrofit2.adapter.rxjava,ResultOnSubscribe,0,14,0,0,0,5,0,2,0,2
Adapter: RxJava,retrofit2.adapter.rxjava,Result,0,75,0,8,0,14,0,11,0,7
Adapter: RxJava,retrofit2.adapter.rxjava,CallEnqueueOnSubscribe,0,30,0,0,0,9,0,2,0,2
