GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Retrofit Mock Adapter,retrofit2.mock,MockRetrofit.Builder,0,59,0,10,0,13,0,9,0,4
Retrofit Mock Adapter,retrofit2.mock,Calls.FakeCall,20,125,3,19,4,29,3,16,1,7
Retrofit Mock Adapter,retrofit2.mock,NetworkBehavior,24,206,2,18,6,54,6,23,4,15
Retrofit Mock Adapter,retrofit2.mock,BehaviorDelegate,5,41,0,0,1,8,1,2,1,2
Retrofit Mock Adapter,retrofit2.mock,MockRetrofitIOException,0,4,0,0,0,2,0,1,0,1
Retrofit Mock Adapter,retrofit2.mock,Calls,7,24,0,0,2,4,1,4,1,4
Retrofit Mock Adapter,retrofit2.mock,Calls.DeferredCall,23,42,1,1,7,15,5,5,4,5
Retrofit Mock Adapter,retrofit2.mock,BehaviorCall.1.new Callback() {...},0,28,1,3,0,7,1,4,0,3
Retrofit Mock Adapter,retrofit2.mock,MockRetrofit,0,32,0,0,0,9,0,5,0,5
Retrofit Mock Adapter,retrofit2.mock,BehaviorDelegate.new InvocationHandler() {...},0,27,0,0,0,6,0,2,0,2
Retrofit Mock Adapter,retrofit2.mock,NetworkBehavior.new Callable() {...},7,6,0,0,1,1,1,1,1,1
Retrofit Mock Adapter,retrofit2.mock,BehaviorCall.new Runnable() {...},13,82,5,7,2,17,4,5,0,3
Retrofit Mock Adapter,retrofit2.mock,BehaviorCall.new Callback() {...},0,31,0,0,0,7,0,3,0,3
Retrofit Mock Adapter,retrofit2.mock,BehaviorCall,45,97,4,8,7,28,8,6,4,4
