GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
vectalign,com.bonnyfone.vectalign.viewer,SVGDrawingPanel.new Runnable() {...},10,0,0,0,3,0,2,0,2,0
vectalign,com.bonnyfone.vectalign.viewer,VectAlignViewer.new ActionListener() {...},16,0,0,0,4,0,2,0,2,0
vectalign,com.bonnyfone.vectalign.viewer,VectAlignViewer.new MouseListener() {...},40,0,0,0,10,0,6,0,6,0
vectalign,com.bonnyfone.vectalign.viewer,VectAlignViewer.new MouseListener() {...},40,0,0,0,10,0,6,0,6,0
vectalign,com.bonnyfone.vectalign.viewer,VectAlignViewer.new ActionListener() {...},14,0,0,0,4,0,2,0,2,0
vectalign,com.bonnyfone.vectalign.viewer,SVGDrawingPanel.new Thread() {...},81,0,14,0,18,0,9,0,2,0
vectalign,com.bonnyfone.vectalign.viewer,VectAlignViewer.new ChangeListener() {...},31,0,0,0,9,0,2,0,2,0
vectalign,com.bonnyfone.vectalign.viewer,VectAlignViewer.new FileFilter() {...},28,0,6,0,10,0,6,0,3,0
vectalign,com.bonnyfone.vectalign.viewer,VectAlignViewer.new ActionListener() {...},22,0,0,0,4,0,2,0,2,0
vectalign,com.bonnyfone.vectalign.viewer,VectAlignViewer.new ActionListener() {...},22,0,0,0,4,0,2,0,2,0
vectalign,com.bonnyfone.vectalign.viewer,VectAlignExportDialog.new ActionListener() {...},14,0,2,0,4,0,3,0,2,0
vectalign,com.bonnyfone.vectalign.viewer,VectAlignViewer.new ActionListener() {...},16,0,0,0,4,0,2,0,2,0
vectalign,com.bonnyfone.vectalign.viewer,VectAlignExportDialog.new ActionListener() {...},22,0,2,0,5,0,3,0,2,0
vectalign,com.bonnyfone.vectalign.viewer,VectAlignViewer.new ActionListener() {...},16,0,0,0,4,0,2,0,2,0
vectalign,com.bonnyfone.vectalign.viewer,VectAlignExportDialog.new FileFilter() {...},15,0,2,0,5,0,4,0,3,0
vectalign,com.bonnyfone.vectalign.viewer,VectAlignViewer.new ActionListener() {...},16,0,0,0,4,0,2,0,2,0
vectalign,com.bonnyfone.vectalign.viewer,VectAlignViewer.new MouseListener() {...},14,0,0,0,7,0,6,0,6,0
vectalign,com.bonnyfone.vectalign.viewer,VectAlignViewer.new ActionListener() {...},27,0,0,0,5,0,2,0,2,0
vectalign,com.bonnyfone.vectalign.viewer,VectAlignViewer.new ActionListener() {...},27,0,0,0,5,0,2,0,2,0
